Adverb;Polarity;Role
absorbente;3;
absurdamente;-3;
accidentalmente;-1;
aceptablemente;1;
acertadamente;3;INTENSIFICACION
activamente;2;
acusadamente;-1;
adecuadamente;2;INTENSIFICACION
admirablemente;5;
adorablemente;5;
afectuosamente;3;
afirmativamente;3;INTENSIFICACION
afortunadamente;3;INTENSIFICACION
agradablemente;4;
agresivamente;-3;
airadamente;-3;
alegremente;4;
algo;-3;DEBILITACION
alguien;-2;DEBILITACION
algún;-3;DEBILITACION
alguno;-3;DEBILITACION
altamente;1;
amablemente;3;
ambiciosamente;1;
ambivalente;-1;
ameno;3;
ampliamente;4;
animosamente;2;
ansiosamente;2;
antiguamente;-1;
apaciblemente;4;
aparentemente;1;
apasionadamente;3;
apenas;-2;DEBILITACION
apologéticamente;-1;
aprehensivamente;-2;
apropiadamente;2;
aproximadamente;-2;DEBILITACION
arbitrariamente;-2;DEBILITACION
ardientemente;4;
armoniosamente;1;
arrogantemente;-3;
artificialmente;-1;
artificiosamente;3;
así;2;INTENSIFICACION
asombrosamente;1;
ásperamente;-3;
asquerosamente;-4;
astutamente;1;
atentamente;1;
aterradoramente;-3;
atípicamente;-2;
atractivamente;4;
atrozmente;-5;
audazmente;3;
auténticamente;3;
automáticamente;2;
ávidamente;2;
barato;1;
básicamente;3;
bastante;2;INTENSIFICACION
bellamente;4;
benignamente;4;
bien;3;INTENSIFICACION
brevemente;1;
brillantemente;5;INTENSIFICACION
broncamente;-2;
bruscamente;-3;
brutalmente;-1;
buenamente;3;INTENSIFICACION
bueno;2;
burlescamente;1;
caliente;2;
calurosamente;1;
caprichosamente;1;
carente;-3;
cariñosamente;3;
caritativamente;1;
caro;1;
casi;-2;DEBILITACION
casualmente;3;
cautelosamente;-1;
chapuceramente;-2;
ciegamente;-3;
científicamente;1;
ciertamente;2;INTENSIFICACION
cínicamente;-3;
claramente;3;
claro;1;INTENSIFICACION
claro que sí;4;INTENSIFICACION
clásicamente;1;
cobarde;-3;
comercialmente;-1;
cómo no;3;INTENSIFICACION
cómodamente;3;
comodo;3;
cómodo;3;
comparablemente;1;
competentemente;2;
complementario;1;
completamente;3;
complexamente;-1;
comprensiblemente;2;
comprensivamente;2;
comúnmente;3;
concretamente;2;
confusamente;-2;DEBILITACION
consciente;2;
conscientemente;2;INTENSIFICACION
consecuentemente;3;INTENSIFICACION
considerablemente;2;
consideradamente;2;
constantemente;1;
continuamente;1;
contraproducente;-2;DEBILITACION
convenientemente;4;INTENSIFICACION
convincentemente;2;
correctamente;4;
cortésmente;3;
creativamente;3;
cruelmente;-4;
cualquiera;3;INTENSIFICACION
cuidadosamente;2;
curiosamente;3;
débilmente;-2;
decadente;5;
decentemente;1;
decepcionante;-3;
decididamente;4;
decisivamente;2;
deficiente;-4;
deficientemente;-4;DEBILITACION
definitivamente;4;INTENSIFICACION
delicado;-2;
deliciosamente;4;
demasiado;-3;DEBILITACION
densamente;-3;
deportivamente;1;
desacertadamente;-4;DEBILITACION
desafortunadamente;-4;DEBILITACION
desagradablemente;-3;DEBILITACION
desapasionadamente;-2;
desastrosamente;-4;DEBILITACION
descaradamente;-2;
desconsideradamente;-2;
desconsoladamente;-2;
descontroladamente;-1;
desesperadamente;-2;
desesperanzadamente;-3;DEBILITACION
desfavorablemente;-2;DEBILITACION
desgraciadamente;-5;DEBILITACION
desnudamente;-2;
despacio;-1;
detalladamente;3;
diabólicamente;-4;
diestramente;3;
difícilmente;-3;DEBILITACION
digitalmente;1;
diligentemente;2;
directamente;3;
discretamente;3;
disparatadamente;-2;
divertidamente;3;
divinamente;5;
dolorosamente;-4;
dramáticamente;-1;
duramente;-3;
duro;-1;
económicamente;1;
educadamente;2;
efectivamente;2;INTENSIFICACION
eficazmente;1;
eficiente;2;
electrónicamente;2;
elegantemente;4;
eminentemente;5;
emocionalmente;-1;
emotivamente;-1;
encantador;3;
encarecidamente;-3;
enérgicamente;3;
enloquecidamente;-1;
enormemente;3;
entrecortadamente;1;
equitativamente;1;
equivocadamente;-1;
ergonómicamente;3;
eróticamente;2;
erróneamente;-4;
escandalosamente;-1;
escasamente;-2;
escasísimamente;-3;
esencialmente;2;
espantosamente;-1;
especialmente;3;
específicamente;2;
espectacularmente;4;INTENSIFICACION
espiritualmente;1;
espléndidamente;5;
espontáneamente;1;
estéticamente;4;
estilisticamente;4;
estilísticamente;2;
estratégicamente;2;
estrechamente;1;
estrepitosamente;-3;
estrictamente;-1;
estridente;-3;
estupendamente;5;INTENSIFICACION
estúpidamente;-5;DEBILITACION
eternamente;2;
evidentemente;1;INTENSIFICACION
exactamente;2;
excelente;4;
excelentemente;3;
excepcionalmente;2;
excesivamente;-3;DEBILITACION
exclusivamente;-2;DEBILITACION
exclusive;-2;DEBILITACION
explicativo;1;
exquisitamente;4;
extrañamente;-4;
extraordinariamente;5;
extremadamente;2;INTENSIFICACION
fabulosamente;4;INTENSIFICACION
fácilmente;4;
familiarmente;1;
fantásticamente;5;INTENSIFICACION
fastidiosamente;-3;DEBILITACION
fatalmente;-5;DEBILITACION
favorablemente;3;INTENSIFICACION
felizmente;4;INTENSIFICACION
fenomenalmente;4;INTENSIFICACION
feo;-3;
ferozmente;-2;
fervientemente;-1;
fielmente;4;
fieramente;-2;
finalmente;1;
finamente;4;
firmemente;-1;
físicamente;2;
formalmente;1;
forzosamente;2;
francamente;1;
frecuentemente;1;
frescamente;-1;
fríamente;-1;
fuertemente;-2;
fundamentalmente;3;
funestamente;-5;
furiosamente;-4;
furtivamente;-3;
genéricamente;-2;
generosamente;3;
genialmente;4;INTENSIFICACION
globalmente;1;
gloriosamente;5;
graciosamente;3;
gradualmente;1;
gráficamente;-3;
gratamente;3;
gratis;3;
gratuitamente;3;
gratuito;2;
gravemente;-2;DEBILITACION
groseramente;-2;
grotescamente;-5;
gustosamente;3;
hábilmente;3;
habitualmente;2;
hermosamente;3;
heroicamente;3;
histéricamente;-3;
honorablemente;2;
horriblemente;-4;DEBILITACION
hoscamente;-2;
humildemente;2;
idealmente;4;
igual;1;
igualmente;1;
ilegalmente;-4;
imaginativamente;3;
impacientemente;-2;
imperdonablemente;-5;
impotente;-3;
impresionantemente;4;
impropiamente;-2;
imprudente;-3;
imprudentemente;-3;
impulsivamente;-2;
in;3;
inaceptablemente;-4;DEBILITACION
inadmisiblemente;-4;DEBILITACION
incesantemente;-4;
inclusive;2;INTENSIFICACION
incluso;2;INTENSIFICACION
incómodamente;-3;
incompetente;-4;
incompetentemente;-3;
incongruamente;-1;
inconscientemente;-1;
incontrolablemente;-2;
incorrectamente;-2;
increíblemente;-4;
indefinidamente;1;
independiente;1;
independientemente;1;
indiscutiblemente;3;
indudablemente;4;INTENSIFICACION
indulgente;-2;
inesperadamente;-1;
inevitablemente;-1;
inexcusablemente;-4;DEBILITACION
inexorablemente;-2;
inexplicablemente;-2;DEBILITACION
infamemente;-2;
infinitamente;1;
ingeniosamente;4;
ingenuamente;-2;
inicuamente;-5;
injustamente;-2;
inmaculadamente;5;
inmediatamente;2;
inmejorablemente;5;INTENSIFICACION
inmensamente;1;
innecesariamente;-1;
innegablemente;4;INTENSIFICACION
inocentemente;2;
inquietantemente;-2;
inseparablemente;-1;
insolentemente;-4;
insólitamente;1;
insoportablemente;-4;
insospechadamente;2;
instantáneamente;-1;
íntegramente;4;INTENSIFICACION
intelectualmente;3;
inteligente;3;
inteligentemente;3;INTENSIFICACION
intensamente;4;
intensivamente;2;
interesadamente;-3;
interminablemente;-3;
íntimamente;1;
intrépidamente;3;
intrincadamente;-1;
intuitivamente;1;
inusualmente;-1;
invariablemente;1;
involuntariamente;-1;
irónicamente;-1;
irreflexivamente;-2;
irremediablemente;-2;DEBILITACION
irremisiblemente;-3;DEBILITACION
irresistiblemente;4;
irritantemente;-3;
jovialmente;1;
juguetonamente;2;
justamente;3;INTENSIFICACION
justo;3;INTENSIFICACION
laboriosamente;-3;
lamentablemente;-5;DEBILITACION
largo;1;
lastimosamente;-4;
legalmente;3;
legiblemente;1;
legítimamente;1;
lentamente;-2;
letalmente;-5;DEBILITACION
levemente;1;
libremente;3;INTENSIFICACION
ligeramente;2;
limpiamente;2;
limpio;2;
llanamente;-2;
lógicamente;3;
lujosamente;3;
lujuriosamente;-2;
mágicamente;4;
magistralmente;5;
magníficamente;5;
mal;-2;
maldito;-4;
maliciosamente;-1;
malvadamente;-3;
manualmente;1;
mañosamente;2;
maquiavélicamente;-3;
maravillosamente;5;
marcadamente;-1;
marginalmente;-1;
mayor;2;INTENSIFICACION
medianamente;-2;
medio;1;
mejor;2;
meramente;-1;
merecidamente;4;
meticulosamente;1;
milagrosamente;4;
milimétricamente;3;
mínimamente;-1;
minuciosamente;2;
miserablemente;-3;
misericordiosamente;3;
misteriosamente;1;
místicamente;2;
moderadamente;1;
modestamente;1;
molestamente;-3;
momentáneamente;2;
monstruosamente;-3;
moralmente;2;
mortalmente;-3;
mucho;3;INTENSIFICACION
mundialmente;2;
musicalmente;3;
muy;2;INTENSIFICACION
nada;-5;DEBILITACION
nadie;-4;DEBILITACION
naturalmente;4;INTENSIFICACION
necesariamente;2;
negativamente;-1;
negligente;-2;
nerviosamente;-1;
normalmente;1;
notablemente;4;
notoriamente;4;
nuevamente;1;
objetivamente;4;
obligatoriamente;1;
obscenamente;-4;
obstinadamente;-2;
obviamente;2;
ociosamente;-1;
ocultamente;-1;
oficialmente;2;
opcionalmente;1;
oportunamente;1;
opresivamente;-3;
optimo;4;
orgullosamente;2;
originalmente;4;
ostentosamente;-1;
otro;-2;DEBILITACION
paciente;3;
pacientemente;4;
pacíficamente;4;
paradójicamente;-3;
paralelamente;1;
parcialmente;-2;DEBILITACION
particularmente;-2;DEBILITACION
pasivamente;-2;
pasmosamente;-2;
patéticamente;-5;
peligrosamente;-3;DEBILITACION
penosamente;-4;
peor;-2;
perdidamente;2;
perezosamente;-2;
perfectamente;5;
periódicamente;1;
personalmente;1;
persuasivamente;1;
pertinente;1;
pesadamente;-1;
pintoresco;4;
platónicamente;4;
plausiblemente;1;
plenamente;4;
poco;-2;DEBILITACION
poderosamente;4;
políticamente;-1;
poquisimo;-2;
posiblemente;2;INTENSIFICACION
positivamente;3;
prácticamente;2;INTENSIFICACION
preciosamente;5;
precipitadamente;-2;
precisamente;4;
precozmente;3;
preferiblemente;1;
presumiblemente;1;
presuntamente;-1;
pretendidamente;1;
previsiblemente;-1;
primorosamente;5;
principalmente;1;
probablemente;2;INTENSIFICACION
profesionalmente;4;INTENSIFICACION
profundamente;3;
progresivamente;2;
prominente;1;
prominentemente;1;
pronto;2;
propiamente;3;
proporcionadamente;1;
prototípicamente;2;
provechosamente;1;
puramente;1;
quienesquiera;-2;DEBILITACION
quienquiera;-2;DEBILITACION
rabiosamente;-5;
radiantemente;5;
radicalmente;2;
rápidamente;4;
rápido;2;
raramente;-2;DEBILITACION
razonablemente;1;
realmente;3;INTENSIFICACION
recién;3;
referente;3;
refrescantemente;5;
regularmente;2;
relajadamente;4;
relativamente;1;
religiosamente;-1;
reluciente;2;
relucientemente;4;
remotamente;-1;
repentinamente;-1;
respetuosamente;1;
resueltamente;2;
reticentemente;-3;
ridículamente;-2;
rotundamente;3;
rudamente;3;
ruidosamente;-2;
sabiamente;3;
salvajemente;-5;
saludable;3;1
santo;3;
satisfactoriamente;1;
secamente;1;
secretamente;-1;
seductoramente;1;
seguramente;3;INTENSIFICACION
seguro;3;INTENSIFICACION
sencillamente;2;
sensatamente;3;
sensiblemente;4;
sentimentalmente;3;
serenamente;2;
seriamente;3;
sexualmente;2;
sí;4;INTENSIFICACION
siempre;5;INTENSIFICACION
significativamente;1;
silenciosamente;1;
simplemente;1;
simplísticamente;-1;
simultáneamente;2;
sinceramente;4;INTENSIFICACION
siniestramente;-3;
sistemáticamente;4;
soberbiamente;4;
sobradamente;3;INTENSIFICACION
sobriamente;2;
socialmente;2;
solamente;-2;DEBILITACION
sólamente;-1;
solemnemente;1;
sólidamente;1;
sólo;-2;DEBILITACION
sombríamente;-2;
someramente;-2;
sonoramente;1;
sorprendentemente;1;
sospechosamente;-4;
suavemente;3;
suficiente;2;
suficientemente;1;
sumamente;4;
superficialmente;-1;
superfluamente;-1;
supuestamente;-2;
sustancialmente;3;
sutilmente;2;
también;3;INTENSIFICACION
tan;2;INTENSIFICACION
tanto;-2;DEBILITACION
tarde;-1;
teatralmente;-2;
técnicamente;1;
tecnológicamente;2;
temblorosamente;-2;
temprano;1;
terriblemente;-5;
terroríficamente;-5;
tibiamente;-2;
tímidamente;-2;
todo;5;INTENSIFICACION
tontamente;-4;
torpemente;-2;
totalmente;1;
tozudamente;-4;
tradicionalmente;1;
trágicamente;-3;
tranquilamente;2;
tranquilo;2;
tremendamente;-3;
tristemente;-4;
triunfantemente;3;
ultimamente;1;
últimamente;1;
únicamente;-2;DEBILITACION
uniformemente;1;
universalmente;1;
vagamente;-1;
valerosamente;3;
valientemente;3;INTENSIFICACION
verdaderamente;3;INTENSIFICACION
vergonzosamente;-3;
vertiginosamente;1;
violentamente;-2;
visiblemente;1;
vistosamente;2;
vívidamente;3;
voluntariamente;3;
zafiamente;-2;
