Verb;Polarity;Role;Emotion Interval
abandonar;-3;;3
abaratar;3;;
abatir;-4;;2
abolir;-2;;3
abollar;-4;;
abonar;2;;
aborrecer;-5;;1
abortar;-4;;6
abrazar;2;;
abstener;-1;;
abstenerse;-1;;
abundar;4;;
aburrir;-3;DEBILITACION;
abusar;-5;;3
acariciar;4;;
acatar;-1;;
acceder;1;;
acechar;-3;;
acelerar;2;;
aceptar;1;;1
acertar;4;;1
achacar;-1;;
aclarar;2;INTENSIFICACION;
acoger;2;;
acojonar;-5;;7
aconsejar;-2;DEBILITACION;
acordar;2;;
acortar;-2;;
acosar;-1;;
acrecentar;2;;
acribillar;-4;;3
activar;1;;
actualizar;1;;
acusar;-3;;1
adaptar;1;;
adecuar;1;;
adelantar;1;;
administrar;-1;;7
admirar;4;;5
admitir;-2;DEBILITACION;
adoptar;1;;
adorar;5;;5
adornar;2;;
adquirir;2;;
adueñar;1;;
advertir;-1;;
afectar;-2;;
afirmar;2;INTENSIFICACION;
afligir;-2;;
agarrar;-2;;
agilizar;2;;
agolpar;-2;;
agotar;-3;;2
agradar;2;;1
agradecer;2;;1
agravar;-4;;7
ahogar;-2;;
ahorrar;2;;
aislar;-3;;3
ajustar;1;;
ajustarse;-1;;
alabar;4;;5
alabear;-1;;
alardear;-3;;4
alargar;-1;;
alarmar;-2;;
alborozarse;3;;1
alegar;-1;;
alegrar;5;;1
alegrarse;3;;1
alejar;-1;;
alentar;-2;DEBILITACION;
alertar;-1;;
aliar;2;;
alimentar;2;;
aliviar;1;;
alterar;0;;6
amar;5;;1
amargar;-4;;1
amasar;2;;
amenazar;-4;;3
ampliar;1;;
amputar;-2;;
angustiarse;-4;;5
animar;-2;DEBILITACION;
aniquilar;-5;;6
anonadar;-3;;
ansiar;-2;;
anular;-3;;
añadir;2;INTENSIFICACION;
aparentar;-1;;
apartar;-2;;
apasionar;4;;5
apenar;-2;DEBILITACION;
apestar;-3;;
aplacar;1;;
aplastar;-3;;
aplaudir;2;;
aplazar;-1;;
aporrear;-3;;
apoyar;0;;2
apreciar;4;;
apuntar;2;INTENSIFICACION;
arder;-4;;
argumentar;-1;;
armonizar;2;;
arrasar;-5;;1
arrastrar;-2;;
arrear;1;;
arrebatar;-4;;2
arreglar;3;;3
arrepentir;-2;;
arriesgar;-1;;
arrojar;-1;;
arrollar;-1;;
arrugar;-2;;
arruinar;-5;;2
asaltar;-4;;
ascender;2;INTENSIFICACION;
asegurar;2;INTENSIFICACION;
asesinar;-5;;6
asesorar;1;;
aseverar;3;INTENSIFICACION;
asfixiar;-5;;
asolar;-4;;2
asombrar;1;;5
asustar;-3;;7
atacar;-4;;5
atentar;-4;;5
aterrar;-4;;7
aterrorizar;-4;;7
atormentar;-3;;3
atornillar;-2;;
atraer;4;;1
atragantar;-3;;
atrapar;-2;;
atravesar;-1;;
atrever;2;;
atrofiar;-1;;
atrofiarse;-3;;
aumentar;2;INTENSIFICACION;
avanzar;2;INTENSIFICACION;
aventajar;3;;
avergonzar;-2;DEBILITACION;
averiar;-2;;
avisar;-2;DEBILITACION;
ayudar;1;;
azotar;-1;;
balbucear;-2;;
balbucir;-1;;
bastar;1;;
batallar;-1;;
beneficiar;2;;1
berrrear;-2;INTENSIFICACION;
besar;4;;1
blandir;-1;;
bloquear;-2;;
bombardear;-3;;6
borbotar;-3;;
borrar;-1;;
bostezar;-1;;
bramar;-2;;1
brillar;1;;
brindar;0;;4
bromear;1;;
brotar;-2;;5
burlar;-3;;4
cabrear;-5;;1
caer;-2;DEBILITACION;
calmar;2;;
cambiar;0;;2
caminar;-2;;
capturar;-1;;
carecer;-2;;
caricaturizar;-1;;
castigar;-3;;3
catear;-3;;
causar;0;;6
cautivar;4;;5
cegar;-2;;
celebrar;4;;1
cernerse;-3;;
chamuscar;-1;;
chillar;-3;;
chirriar;-2;;
chocar;-4;;
chorrear;-2;;
chupar;-3;;
clamar;2;INTENSIFICACION;
coaccionar;-2;;
cobrar;2;;
codiciar;-2;;
colaborar;2;;
colisionar;-1;;
combatir;-1;;
compadecerse;2;;
compartir;1;;
compensar;1;;
complacer;2;;
complicar;-2;;
comportar;2;;
comprender;1;;
comprometer;-3;;5
comunicar;1;;
conceder;2;;
condenar;-3;;4
conectar;-1;;6
confiar;3;;2
confinar;-2;;
confirmar;2;INTENSIFICACION;
conformar;2;;
confortar;1;;
confrontar;-3;;1
conmemorar;2;;
conmover;3;;
conquistar;4;;5
conseguir;1;;
consolar;-3;DEBILITACION;
consolidar;2;;
conspirar;-2;;6
consultar;1;;
contagiar;-2;;
contaminar;-3;;
contemplar;1;;
contener;0;;6
contradecir;-2;;
contraer;0;;7
contratar;2;;
contravenir;-2;;
controlar;-2;;1
convencer;2;INTENSIFICACION;
convertir;0;;6
cooperar;2;;
corregir;-1;;
correr;0;;7
corroer;-3;;
corromper;-4;;
cortar;-1;;
crear;2;;
creer;-2;DEBILITACION;
crepitar;-2;;
criticar;-4;;
croar;-1;;
crucificar;-5;;1
cuestionar;-1;;
culpar;-3;;
cultivar;2;;
cumplir;3;INTENSIFICACION;
curar;3;;1
dañar;-2;;4
dar;0;;7
debatir;-1;;
debatirse;-2;;
debilitar;-2;;
decapitar;-3;;
decepcionar;-3;;2
decrementar;-2;DEBILITACION;
dedicar;3;;
deformar;-2;;
degenerar;-4;;2
deleitar;5;;5
demandar;2;INTENSIFICACION;
demoler;-3;;7
demostrar;2;INTENSIFICACION;
denunciar;-2;;
deplorar;-3;;3
depreciarse;-1;;
deprimir;-3;;2
derogar;-2;;
derramar;-1;;
derrochar;-1;;
derrotar;-3;;
derrumbar;-2;;
desacreditar;-2;;
desafiar;-1;;
desafinar;-1;;
desagradar;-2;DEBILITACION;
desahuciar;-2;;
desairar;-2;;
desalentar;-2;DEBILITACION;
desangrar;-4;;
desaparecer;-1;;5
desaprovechar;-1;;
desarraigar;-1;;
desarrollar;1;;4
desatender;-1;;
desbancar;-1;;
desbordar;-1;;
desbordarse;-1;;
descansar;2;;
descartar;-2;DEBILITACION;
desconcertar;-3;;
desconfiar;-3;;2
desconocer;-2;;2
descorazonar;-2;;2
descuidar;-1;;
desdibujar;-1;;
desentonar;-1;;
desesperanzar;-4;;2
desesperar;-4;;1
desestabilizar;-3;;5
desganar;-2;;
desgarrar;-4;;1
desgastar;-2;;
desguazar;-5;;
deshacer;-1;;
desilusionar;-2;;
desmayarse;2;;
desmerecer;-2;;
desmoralizar;-3;;2
desmoronar;-3;;2
despedazar;-4;;3
despedir;-1;;
desperdiciar;-3;;2
despertar;-1;;
despilfarrar;-3;;4
desplomarse;-2;;
despreciar;-4;;1
desproteger;-2;;3
desquitarse;-1;;
destacar;2;INTENSIFICACION;
destellar;2;;
desterrar;-2;;
destripar;-5;;7
destrozar;-5;;1
destruir;-5;;1
desvariar;-3;;6
desviar;-1;;
desviarse;-1;;
deteriorar;-2;;
deteriorarse;-3;;3
detestar;-5;DEBILITACION;
devastar;-5;;3
devolver;-3;;
devorar;-1;;
dictar;-1;;
difamar;-2;;
dificultar;-2;;
dignificar;1;;
discrepar;-2;;
discriminar;-2;;
disculpar;-1;;
discutir;-3;;
disfrutar;3;;1
disgustar;-2;DEBILITACION;
disminuir;-2;DEBILITACION;
disolver;-1;;
disparar;-3;;
disponer;-1;;
distraer;-2;DEBILITACION;
divertir;3;;1
doler;-3;DEBILITACION;
dominar;-3;;6
donar;3;;4
dotar;1;;
dudar;-1;;
durar;1;;
eclipsar;-2;;
economizar;1;;
educar;3;;6
ejecutar;1;;
elaborar;1;;
electrizar;3;;
eliminar;-2;DEBILITACION;
elogiar;3;;5
eludir;-2;;
emancipar;2;;
embadurnar;-2;;
embaucar;-2;;
embrutecer;-3;;
embutir;-3;;
emocionar;3;;5
empeorar;-3;;7
empujar;-1;;
enajenar;-2;;
encarcelar;-2;;
encarecer;-2;;
encasillar;-1;;
encogerse;-2;;
encolerizar;0;;6
encomiar;3;;
endosar;2;;
endulzar;2;;
enfadar;-2;;
enfatizar;2;INTENSIFICACION;
enfermar;-2;;7
enfrentar;-2;;
enfrentarse;-2;;
enfurecer;-2;;
engañar;-3;;2
engranarse;2;;
enloquecer;-5;;6
enmascarar;-1;;
enredar;-1;;
enrevesar;-2;;
enriquecer;3;;
ensuciar;-1;;
entender;2;;
entorpecer;-3;;
entretener;1;;
entristecer;-2;DEBILITACION;
entrometerse;-1;;
entusiasmar;4;INTENSIFICACION;
envidiar;-3;;4
equivocar;-2;;4
erizarse;-2;;
erosionar;-2;;
erradicar;-3;;
escaldar;-1;;
escandalizar;2;INTENSIFICACION;
escaquear;-1;;
esclarecer;2;;
esclavizar;-3;;3
esconderse;-2;;
escrutar;-1;;
escupir;-3;;
esforzar;2;;
esmerar;2;;
esperar;1;;
espiar;-2;;
estabilizar;1;;
establecer;1;;
estancarse;-2;;
esterilizar;0;;6
estimar;2;;
estimular;-2;DEBILITACION;
estirar;-2;;
estorbar;-2;;
estrangular;-3;;
estrellar;-2;;
estropear;-3;;
estrujar;-2;;
evitar;-2;DEBILITACION;
evocar;2;;
exagerar;-2;;
exaltar;4;;1
exasperar;-4;;1
exclamar;2;INTENSIFICACION;
excluir;-2;;6
exigir;-2;DEBILITACION;
existir;0;;4
experimentar;-1;;4
explicar;2;;
explotar;-3;;
exponer;0;;3
expulsar;-2;;
exterminar;-3;;
extinguir;-1;;
extrañar;-2;DEBILITACION;
fabricar;0;;6
facilitar;2;;
fallar;-4;;3
fallecer;-4;;2
falsificar;-2;;
fardar;2;;
fascinar;4;INTENSIFICACION;
fastidiar;-2;DEBILITACION;
felicitar;2;;
fingir;-2;;
flipar;4;;4
fortalecer;2;;3
fortificar;1;;
forzar;-2;INTENSIFICACION;
fracasar;-4;;2
frustrar;-3;;2
funcionar;4;;2
ganar;2;INTENSIFICACION;
garantizar;2;;
gastar;-1;;
gemir;-1;;
generar;1;;2
gimotear;-1;;
glorificar;-1;;
golpear;-2;;
gritar;-2;DEBILITACION;
gruñir;-1;;
guarnecer;1;;
guiar;1;;
gustar;2;INTENSIFICACION;
halagar;1;;
hartar;-3;;1
hastiar;-4;;1
hechizar;2;;
heredar;2;;
herir;-3;;3
hiperbolizar;-2;;
homenajear;2;;
honrar;2;;
horrorizar;-4;;7
hostigar;-4;;5
huir;-2;;
humanizar;2;;
humillar;-3;;3
hundir;-3;;3
hundirse;1;;
idealizar;-1;;
idear;2;;
idolatrar;5;;5
ignorar;-2;;6
iluminar;2;;
ilusionar;3;;2
imaginar;1;;
impactar;1;;
impedir;-2;DEBILITACION;
implicar;-1;;
implorar;-2;DEBILITACION;
imponer;-1;;
imposibilitar;-2;;
impresionar;3;INTENSIFICACION;
impulsar;2;INTENSIFICACION;
incitar;-2;DEBILITACION;
incrementar;2;INTENSIFICACION;
increpar;-2;DEBILITACION;
incumplir;-3;DEBILITACION;
indignar;-4;;4
inducir;-2;DEBILITACION;
infectar;-2;;
infectar;0;;1
infestar;-2;;
infligir;-2;;
informar;1;;
infringir;-3;;1
inmunizar;2;;3
innovar;3;;4
inquietar;-1;;
insinuar;-1;;
insistir;2;INTENSIFICACION;
inspirar;3;;2
instar;-2;DEBILITACION;
insultar;-4;;
insunuar;-2;DEBILITACION;
interesar;3;;
interferir;-1;;2
Interrogar;-2;DEBILITACION;
interrumpir;-1;;2
intrigar;2;;
introducir;1;;
inundar;-1;;
invadir;-3;;
invalidar;-2;;
invitar;-2;DEBILITACION;
involucionar;-2;;
inyectar;0;;7
irradiar;2;;
irritar;-2;DEBILITACION;
irrumpir;-2;;
jactarse;-2;;
joder;-5;;1
jorobar;-3;DEBILITACION;
jugarse;-1;;
justificar;1;;
juzgar;-2;;
lamentar;-2;DEBILITACION;
liar;-2;;
liberar;2;;
limpiar;1;;
liquidar;-1;;
llevar;0;;6
llorar;-3;;1
lloriquear;-1;;
lograr;2;;
luchar;1;;
madurar;2;;
magullar;-1;;
maldecir;-3;;4
malgastar;-2;;
malograr;-2;;
manchar;-5;;
manifestar;2;INTENSIFICACION;
manipular;-1;;
maravillarse;3;;5
marchitar;-3;;
marchitarse;-2;;
marear;-2;;
matar;-4;;7
matizar;-2;DEBILITACION;
mear;-2;;
mecer;4;;
mediar;1;;
medrar;3;;
mejorar;3;;
menguar;-1;;
menospreciar;-2;;
mentir;-2;;
merecer;2;;
mermar;-2;;1
mimar;-1;;
minar;-2;;
mitigar;1;;
moderar;1;;
modernizar;2;;
molestar;-2;DEBILITACION;
morder;-3;;
morir;-4;;7
mortificar;-4;DEBILITACION;
motivar;-2;DEBILITACION;
murmurar;-1;;
mutilar;-3;;3
naufragar;-2;;
necesitar;4;;6
negar;-3;DEBILITACION;
neutralizar;-1;;
nutrir;2;;
obedecer;-1;;1
objetar;-2;DEBILITACION;
obligar;-3;DEBILITACION;
obsequiar;3;;
obsersionar;-2;DEBILITACION;
obsesionar;-2;;
obstar;-1;;
obstruir;-2;;
ocultar;-1;;
ocupar;-3;;
odiar;-5;;1
ofender;-4;;4
ofrecer;1;;
olvidar;0;;6
omitir;-3;;
oponer;-2;DEBILITACION;
oprimir;-3;;3
optimizar;1;;
ordenar;-2;DEBILITACION;
organizar;1;;
ostentar;-1;;
padecer;-3;;1
palidecer;-2;;
paralizar;-2;;
parlotear;-1;;
parodiar;-2;;
patrocinar;-2;;
pavonearse;-1;;
pecar;-3;;
pegar;-4;;
pelear;-3;;
peligrar;-3;;3
perder;-2;DEBILITACION;
perdonar;2;;
perdurar;4;;
perecer;-1;;
perfeccionar;4;;2
perjudicar;-3;;4
permitir;0;;5
perseguir;-1;;
perseverar;1;;
persuadir;-2;DEBILITACION;
pervertir;-3;;4
picar;-1;;
pinchar;-1;;
pisotear;-4;;1
plagiar;-3;;
poder;-2;DEBILITACION;
poner;0;;7
postrarse;-1;;
pregonar;2;INTENSIFICACION;
premiar;3;;
preocupar;-2;DEBILITACION;
preocuparse;-2;DEBILITACION;
preparar;-1;;
presentar;0;;2
presionar;-2;;
presumir;3;;
prevalecer;1;;
prevenir;5;;2
probar;2;;7
procesar;-2;;
proclamar;3;INTENSIFICACION;
producir;0;;3
progresar;2;;
prohibir;-3;DEBILITACION;
promover;0;;2
proponer;1;;
propulsar;2;;
prosperar;2;;
proteger;5;;3
protestar;-2;DEBILITACION;
provocar;-2;;1
pudrir;-3;;6
pudrirse;-2;;6
puntualizar;2;INTENSIFICACION;
purificar;2;;
quejar;-2;DEBILITACION;
quejarse;-2;DEBILITACION;
quemar;-2;;
querer;2;;
quitar;-1;;
racionalizar;-1;;
rasgar;-1;;
ratificar;3;INTENSIFICACION;
rastrear;-3;;1;
rayar;-1;;
reactivar;1;;
reagrupar;2;;
realzar;2;;
reanimar;3;;7
rebajar;-3;;5
rebuscar;-1;;
recaer;-2;;
recalcar;2;INTENSIFICACION;
recargar;-2;;
rechazar;-2;;1
reclamar;1;;
reclinarse;1;;
recolectar;2;;
recomendar;2;INTENSIFICACION;
recompensar;2;;
reconciliar;2;;
recriminar;-3;;4
rectificar;1;;
reducir;-2;DEBILITACION;
refinar;2;;
reforzar;2;;1
refutar;-1;;
regurgitar;-3;;
rehabilitar;2;;
rehuir;-2;;
reÌrse;2;;
reiterar;3;INTENSIFICACION;
relajar;3;;
remplazar;0;;2
renovar;1;;
renunciar;-1;;
reñir;-2;;
reparar;2;;
replicar;-2;DEBILITACION;
reposar;1;;
reprender;-1;;
reprimir;-1;;
reprochar;-2;DEBILITACION;
repugnar;-3;DEBILITACION;
rescatar;1;;
resolver;1;;
resonar;3;;
respetar;2;;4
resplandecer;1;;
restaurar;3;;
restituir;1;;
restringir;-2;;
resurgir;1;;
retirarse;-1;;
retorcerse;-1;;
retozar;1;;
retrasar;-2;;
retroceder;-1;;
reunir;2;;
reventar;-3;;1
reverenciar;5;;5
revolver;-2;;
ridiculizar;-4;;4
robar;-4;;
rogar;-2;DEBILITACION;
romper;-2;;
roncar;-2;;
ronronear;1;;
rozar;-2;;
saborear;3;;
sabotear;-4;;5
sacrificar;-4;;4
saludar;1;;
salvaguardar;2;;
salvar;5;;4
santificar;3;;
sangrar;-4;;1
saquear;-2;;1
satisfacer;1;;
sazonar;1;;
secuestrar;-3;;
sedar;0;;3
seguir;0;;6
sentir;-3;DEBILITACION;
señalar;1;;
simplificar;1;;
simular;-1;;
sobornar;-4;;4;
sobreactuar;-2;;
sobrecargar;-4;;7
sobresalir;4;;4
sobresaltar;-2;;
sollozar;-1;;
soltar;-2;;
solucionar;3;;2
solventar;3;;2
someter;-1;;
sonreÌr;1;;
soportar;-1;;
sorprender;-2;DEBILITACION;
sostener;1;;
subsanar;3;;3
subvertir;-3;;
sucumbir;-2;;
sufrir;-3;;2
sugerir;-2;DEBILITACION;
suicidar;-4;;
sumergir;2;;
superar;2;;2
suspender;-1;;
suspender;-2;;
tardar;-1;;
temblar;-3;;
temer;-4;DEBILITACION;
tensar;-2;;
tirar;-3;;
tolerar;2;;
torcer;-1;;
torturar;-5;;3
traicionar;-4;;4
transgredir;-1;;
trastocar;-1;;
trastornar;-1;;
traumatizar;-3;;4
triunfar;4;;7
trivializar;-2;;
tropezar;-1;;
ultrajar;-4;;
urgir;2;INTENSIFICACION;
usar;0;;7
usurpar;-2;;
utilizar;0;;7
vaciar;-2;;
vacilar;-2;;
vacunar;0;;6
vapulear;-2;;
vencer;3;;4
venerar;2;;
violar;-4;;4
volcar;-3;;
volver;-2;;
vomitar;-1;;5
vulgarizar;-2;;
yacer;-2;;
zamparse;-3;;
